,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
104,imagine,"Ariana Grande",937172,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
105,"Don't Stop Me Now - Remastered",Queen,932199,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
106,"Too Good At Goodbyes","Sam Smith",924697,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
107,"In My Feelings",Drake,914994,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
108,"No Stylist","French Montana",908614,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
109,Nonstop,Drake,907092,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
110,Créeme,"Karol G",906844,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
111,"This Feeling","The Chainsmokers",902470,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
112,"First Off (feat. Travis Scott)",Future,895397,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG
113,"Vaina Loca",Ozuna,894364,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
114,"KIKA (feat. Tory Lanez)",6ix9ine,881636,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
115,"Best Part (feat. Daniel Caesar)",H.E.R.,881037,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
116,"Always Remember Us This Way","Lady Gaga",878664,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
117,Alone,Marshmello,876831,https://open.spotify.com/track/12mGwph2YzDIlChtq3EdXP
118,IDGAF,"Dua Lipa",874825,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
119,"Speechless (feat. Erika Sirola)","Robin Schulz",873701,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
120,"Say You Won't Let Go","James Arthur",872093,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
121,"Space Cadet (feat. Gunna)","Metro Boomin",867967,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
122,"ocean eyes","Billie Eilish",867683,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
123,"MALA (feat. Anuel Aa)",6ix9ine,866967,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
124,Thunder,"Imagine Dragons",857983,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
125,"So Close",NOTD,852150,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
126,"Fire On Fire - From ""Watership Down""","Sam Smith",849769,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
127,"Kiss and Make Up","Dua Lipa",849376,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
128,breathin,"Ariana Grande",846955,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
129,Everyday,Logic,844928,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
130,"BEBE (feat. Anuel Aa)",6ix9ine,842486,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
131,changes,XXXTENTACION,835119,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
132,"Solo (feat. Demi Lovato)","Clean Bandit",832464,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
133,"Happy Now",Kygo,829909,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
134,"I Fall Apart","Post Malone",829678,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
135,Havana,"Camila Cabello",824011,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
136,"The Middle",Zedd,822550,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
137,"Under Pressure - Remastered",Queen,815381,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
138,"New Rules","Dua Lipa",809410,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
139,Silence,Marshmello,808211,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
140,"God is a woman","Ariana Grande",795988,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
141,"Falling Down - Bonus Track","Lil Peep",789233,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
142,"Ya No Tiene Novio","Sebastian Yatra",787986,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
143,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,786982,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
144,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",783355,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
145,"Electricity (with Dua Lipa)","Silk City",778129,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
146,"Te Boté - Remix","Nio Garcia",774411,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
147,Noticed,"Lil Mosey",764924,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
148,"whoa (mind in awe)",XXXTENTACION,764784,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
149,"Asesina - Remix",Brytiago,761038,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
150,Rise,"Jonas Blue",756745,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
151,"Amigos Con Derechos",Reik,756360,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
152,Sola,"Manuel Turizo",754670,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
153,Congratulations,"Post Malone",754162,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
154,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,752446,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
155,"I Love It (& Lil Pump)","Kanye West",747124,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
156,"Look Alive (feat. Drake)","BlocBoy JB",743198,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
157,Shotgun,"George Ezra",742112,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
158,"Crushed Up",Future,738587,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41
159,"7 Minutes","Dean Lewis",732610,https://open.spotify.com/track/2BkyYZmU4JuWW2sYi9EzpC
160,YOSEMITE,"Travis Scott",730420,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
161,"Cuando Te Besé","Becky G",728746,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
162,Culpables,"Karol G",726843,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
163,Happier,"Ed Sheeran",725687,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
164,Wolves,"Selena Gomez",724155,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
165,"Racks on Racks","Lil Pump",723885,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s
166,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",723579,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
167,"XO TOUR Llif3","Lil Uzi Vert",720886,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
168,Prinzessa,"Capital Bra",720674,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP
169,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",719598,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
170,"Thinking out Loud","Ed Sheeran",716981,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
171,"Somebody To Love - Remastered 2011",Queen,716683,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
172,Closer,"The Chainsmokers",715045,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
173,"I'm a Mess","Bebe Rexha",707963,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
174,goosebumps,"Travis Scott",704738,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
175,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",696549,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
176,"In My Blood","Shawn Mendes",695778,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
177,monster,"21 Savage",693706,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
178,"3 Nights","Dominic Fike",693258,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
179,Terremoto,Anitta,692733,https://open.spotify.com/track/7G2XZhDNHo7SSDWSVxC0UT
180,"Love Lies (with Normani)",Khalid,691408,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
181,"Dile la Verdad","Jowell & Randy",690349,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE
182,Photograph,"Ed Sheeran",689995,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
183,"Pure Cocaine","Lil Baby",673352,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
184,"Thunderclouds (with Sia, Diplo & Labrinth)",Sia,672928,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
185,"Ric Flair Drip (& Metro Boomin)",Offset,672805,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
186,BAD!,XXXTENTACION,670814,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
187,HUMBLE.,"Kendrick Lamar",666146,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
188,"Anxiety (with Selena Gomez)","Julia Michaels",663885,https://open.spotify.com/track/1XJ93XskwJf7PCyIVLbNBt
189,"We Will Rock You - Remastered",Queen,661161,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
190,"Jackie Chan",Tiësto,654224,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
191,"What Lovers Do","Maroon 5",652956,https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g
192,"my boy","Billie Eilish",649712,https://open.spotify.com/track/0FQhAHyHGsrbSHvDURmFPn
193,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,649259,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2
194,Mine,Bazzi,648890,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
195,"Nice For What",Drake,647012,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
196,"Wonderwall - Remastered",Oasis,646154,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
197,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",644389,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
198,Africa,Toto,644293,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
199,"Woman Like Me (feat. Nicki Minaj)","Little Mix",643584,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
200,"Lucky You (feat. Joyner Lucas)",Eminem,641136,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
