,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
74,Paradise,Bazzi,968583,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
75,"MONOPOLY (with Victoria Monét)","Ariana Grande",958976,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
76,"Look Back At It","A Boogie Wit da Hoodie",957847,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
77,"Mixed Personalities (feat. Kanye West)","YNW Melly",956257,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
78,"Contra La Pared","Sean Paul",955023,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp
79,SAD!,XXXTENTACION,943826,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
80,"Ella Quiere Beber - Remix","Anuel Aa",937723,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
81,"Shape of You","Ed Sheeran",935583,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
82,"Un Año","Sebastian Yatra",933843,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
83,"Bad Liar","Imagine Dragons",932993,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
84,"Please Me","Cardi B",928562,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
85,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",917880,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
86,Amanece,"Anuel Aa",914151,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
87,"Saturday Nights",Khalid,910262,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
88,"Don't Stop Me Now - Remastered",Queen,888584,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
89,Moonlight,XXXTENTACION,870043,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
90,"Esclavo de Tus Besos","Manuel Turizo",867554,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
91,"Just You and I","Tom Walker",867262,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
92,Youngblood,"5 Seconds of Summer",862049,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
93,Thotiana,Blueface,858899,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
94,"Walk Me Home",P!nk,850149,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
95,"Another One Bites The Dust - Remastered 2011",Queen,844399,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
96,"Always Remember Us This Way","Lady Gaga",841032,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
97,Sixteen,"Ellie Goulding",839275,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
98,"Envy Me",Calboy,836111,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
99,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",835899,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
100,"a lot","21 Savage",825954,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
101,Believer,"Imagine Dragons",817057,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Faucet Failure","Ski Mask The Slump God",816951,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
103,"In My Mind",Dynoro,812389,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
104,2002,Anne-Marie,809999,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
105,"I Like It","Cardi B",805122,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
106,idontwannabeyouanymore,"Billie Eilish",798606,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
107,Perfect,"Ed Sheeran",791982,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
108,"i love you","Billie Eilish",790631,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
109,"Mo Bamba","Sheck Wes",784265,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
110,Mikrokosmos,BTS,782574,https://open.spotify.com/track/5hnbE5BF2e8BCk9OMR1UVC
111,"3 Nights","Dominic Fike",778066,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
112,"Make It Right",BTS,775457,https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH
113,"Promises (with Sam Smith)","Calvin Harris",772289,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
114,"Que Mas Pues - Remix",Sech,770229,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
